commune,canton,population,average_rent_chf,share_new_buildings
Wil,ZH,357536,2941.0,0.119
Altsee,ZH,263735,2572.55,0.242
Oberfeld,ZH,257274,2875.82,0.207
Althof,ZH,958,1478.4,0.079
Grossweid,ZH,1111,1701.72,0.09
  Niederdorf  ,ZH,5063,1369.65,0.056
Neumatt,ZH,4472,1495.23,0.071
Wang,ZH,2847,1646.51,0.135
Kleinau,ZH,585,1306.92,0.088
Niedermoos,ZH,3114,1570.26,0.049
Hinterbrunn,ZH,1333,1563.91,0.112
Altau,ZH,8473,1290.83,0.138
Neuhausen,ZH,7010,1351.46,0.015
Moos,ZH,1614,1421.11,0.126
Niederberg,ZH,5171,1637.58,0.054
Kleinhausen,ZH,2143,1381.5,0.082
Altried,ZH,8594,1364.2,0.141
Grossikon,ZH,1954,1259.73,0.071
Niederwang,ZH,1815,1728.73,0.135
Altstein,ZH,1181,1678.44,0.135
Neufluh,VD,304582,2548.44,0.113
Grossried,VD,86634,2631.26,0.125
Oberbrunn,VD,311603,2302.29,0.199
Niederegg,VD,3667,,0.044
Altmatt,VD,2657,1140.9,0.126
Hinterried,VD,8070,1165.48,0.094
Kleinfeld,VD,1718,1467.93,0.038
Hinterberg,VD,2812,1425.67,0.146
Niedertal,VD,3068,1305.32,0.03
Oberikon,VD,8435,1187.4,0.028
Grossberg,VD,519,1382.28,0.027
Kleinmoos,VD,2950,1389.5,0.091
Ried,VD,4754,1174.4,0.123
Neustein,VD,615,1408.96,0.028
Oberhausen,VD,6552,1141.33,0.14
Grosstal,VD,1095,1218.41,0.078
Hinterhausen,VD,3819,1375.85,0.144
Hintermatt,VD,4880,1489.79,0.013
See,VD,2863,1329.01,0.099
Au,VD,7630,1148.55,0.069
Vorderweid,LU,111769,2614.27,0.169
Neuweid,LU,134440,2526.85,0.143
Kleinfluh,LU,359906,2516.27,0.054
Hinterbach,LU,6106,1348.42,0.122
Niederried,LU,1338,1106.72,0.084
Oberegg,LU,6980,1363.93,0.094
Vorderfluh,LU,5611,1179.59,0.062
Kleinstein ,LU,8367,1276.53,0.131
Oberwil,LU,4062,1196.33,0.045
Hinterstein,LU,2710,1314.64,0.124
Hinterwil,LU,2435,1055.14,0.019
Niederhausen,LU,4488,1071.7,0.125
Hof,LU,5512,1138.19,0.03
Grosshausen,LU,8271,1079.54,0.05
Hinterdorf,LU,8320,1074.71,0.026
Oberried,LU,5046,1034.94,0.034
Hinterhof,LU,581,1034.12,0.093
Hinterwang,LU,4837,1171.92,0.055
Kleinweid,LU,6254,1216.83,0.133
Oberberg,LU,7216,1030.11,0.035
Fluh,BE,335339,2055.87,0.1
Vordermoos,BE,272769,2145.63,0.06
Niederfeld,BE,251369,2124.31,0.155
Vorderberg,BE,8084,1250.05,0.017
Neuwil,BE,1274,1284.32,0.024
Berg,BE,7599,1275.99,0.147
Neufeld,BE,7654,1238.26,0.119
Niederfluh,BE,5799,1229.62,0.029
Vorderegg,BE,5925,1138.53,0.082
Kleinbrunn,BE,8716,1111.05,0.064
Brunn,BE,7775,1177.34,0.047
Obertal,BE,0,1116.7,0.068
Kleinikon,BE,1602,1024.71,0.061
Hinteregg,BE,4743,1060.31,0.063
Oberdorf,BE,3550,1194.65,0.052
Vorderikon,BE,7217,1281.13,0.077
Althausen,BE,8560,1060.64,0.085
Kleinwang,BE,8660,1182.22,0.123
Tal,BE,7697,1137.27,0.099
Grosswang,BE,1023,1213.08,0.038
Grossdorf,SG,166446,2193.5,0.222
Grossau,SG,355682,2154.9,0.069
Vorderhof,SG,119630,2208.34,0.067
Vorderbach,SG,4899,949.47,0.144
Kleinhof,SG,8449,1188.32,0.093
Grossmatt,SG,4228,1186.24,0.142
Hinterikon,SG,7130,991.22,0.093
Altdorf,SG,831,1121.82,0.034
Vorderfeld,SG,1217,1103.38,0.09
Oberwang,SG,4492,1088.15,0.117
Grossbach,SG,4407,1187.73,0.079
Neuwang,SG,2427,1235.25,0.027
 Stein,SG,5556,942.16,0.022
Neuried,SG,4598,1050.7,0.118
Weid,SG,6057,1141.64,0.057
Hinterau,SG,6748,1174.51,0.048
Neutal,SG,8125,1031.11,0.054
Vordermatt,SG,3091,953.2,0.141
Niederbach,SG,1755,1057.65,0.064
Vorderhausen,SG,1500,1099.08,0.141
Hintertal,TI,298905,2048.33,0.146
Grossfeld,TI,121978,2139.12,0.194
Hinterfeld,TI,192907,2123.53,0.074
Altfluh,TI,2730,1035.23,0.027
Neudorf,TI,7714,1019.13,0.106
Vorderau,TI,5082,974.92,0.126
Hinterfluh,TI,505,922.47,0.074
Neuau,TI,3112,924.64,0.139
Kleindorf,TI,4203,1082.83,0.025
Grosshof,TI,3761,1115.14,0.05
Niedermatt,TI,8974,1101.18,0.025
Vorderried,TI,6125,1044.68,0.101
Bach,TI,8992,854.85,0.136
Hintersee,TI,7825,904.47,0.03
Hausen,TI,649,1081.33,0.038
Neuhof,TI,525,1041.57,0.015
Vorderwang,TI,8231,826.79,0.017
Oberstein,TI,7451,1089.49,0.043
Grossegg,TI,5610,1105.3,0.018
Grossstein,TI,6154,1131.17,0.118
Niedermatt,TI,8974,1101.18,0.025
