region,region_abbrev,period,period_start,period_mid,craftsmen_real_wage_mean,craftsmen_real_wage_n_cities,craftsmen_welfare_ratio_mean,craftsmen_welfare_ratio_n_cities,labourers_real_wage_mean,labourers_real_wage_n_cities,labourers_welfare_ratio_mean,labourers_welfare_ratio_n_cities
England_Britain,ENG,1500-1524,1500,1512.5,10.655326995297397,2.0,2.329410935089596,1.0,7.610947853783854,1.0,1.4558818344309972,1.0
England_Britain,ENG,1525-1549,1525,1537.5,10.22911463145812,2.0,1.8400947519931439,1.0,6.52925950442872,1.0,1.2489679981262514,1.0
England_Britain,ENG,1550-1574,1550,1562.5,8.726870338012887,2.0,1.7644549854280853,1.0,6.59354733448667,1.0,1.261265478775764,1.0
England_Britain,ENG,1575-1599,1575,1587.5,7.954884615508794,2.0,1.7734145106067374,1.0,5.9115711438405905,1.0,1.1308117210375002,1.0
England_Britain,ENG,1600-1624,1600,1612.5,6.706625461441067,2.0,1.6046484757506163,1.0,5.72486815659018,1.0,1.0950977084343603,1.0
England_Britain,ENG,1625-1649,1625,1637.5,7.354438557031024,2.0,1.8678196294979303,1.0,5.79366323631438,1.0,1.108257371171887,1.0
England_Britain,ENG,1650-1674,1650,1662.5,8.339304064447452,2.0,2.061950060703407,1.0,6.649290166206074,1.0,1.271928405083908,1.0
England_Britain,ENG,1675-1699,1675,1687.5,7.929030928574619,2.0,1.8777500072590778,1.0,7.035510060044943,1.0,1.3458075773418452,1.0
England_Britain,ENG,1700-1724,1700,1712.5,8.89529107856118,2.0,1.9864203047448876,1.0,7.6444297144853275,1.0,1.4622865075038771,1.0
England_Britain,ENG,1725-1749,1725,1737.5,9.857362667232241,2.0,2.220602863418033,1.0,8.0444182036294,1.0,1.538799444724547,1.0
England_Britain,ENG,1750-1774,1750,1762.5,9.367483003873769,2.0,2.14726010128012,1.0,7.51187036536505,1.0,1.4369295149090242,1.0
England_Britain,ENG,1775-1799,1775,1787.5,9.312281802972569,2.0,2.0469340475738376,1.0,6.668549302147085,1.0,1.2756124437479508,1.0
England_Britain,ENG,1800-1824,1800,1812.5,9.130116877599948,2.0,2.0260954791864108,1.0,6.643114177970975,1.0,1.2707470135865702,1.0
England_Britain,ENG,1825-1849,1825,1837.5,11.149755199502419,2.0,2.3672767159092714,1.0,7.425281041700958,1.0,1.420366029545563,1.0
England_Britain,ENG,1850-1874,1850,1862.5,12.63419391452711,2.0,2.658711460386048,1.0,8.557403975007922,1.0,1.63692738886757,1.0
England_Britain,ENG,1875-1899,1875,1887.5,17.62067698744857,2.0,3.7076835148743807,1.0,12.81975749501301,1.0,2.4522638201391773,1.0
