nuts_2,country,year,urban_pop_10k,n_cities_10k,largest_city,largest_city_pop,urban_pop_5k,national_urb_ratio,national_total_pop_k,total_pop_est_k,confidence
AT12,AT,1500,0.0,0,,0.0,0.0,0.0392,2000.0,,low_no_large_city
AT12,AT,1550,0.0,0,,0.0,0.0,0.0432,2250.0,,low_no_large_city
AT12,AT,1600,0.0,0,,0.0,0.0,0.0472,2500.0,,low_no_large_city
AT12,AT,1650,0.0,0,,0.0,0.0,0.0653333333,2250.0,,low_no_large_city
AT12,AT,1700,0.0,0,,0.0,0.0,0.0812,2500.0,,low_no_large_city
AT12,AT,1750,0.0,0,,0.0,0.0,0.1,2750.0,,low_no_large_city
AT12,AT,1800,0.0,0,,0.0,0.0,0.1263333333,3000.0,,low_no_large_city
AT12,AT,1850,0.0,0,,0.0,7.0,0.1584810127,3950.0,,low_no_large_city
AT12,AT,1900,21.0,1,Krems,21.0,21.0,0.3363468944,5973.0,62.43554006187964,high
AT13,AT,1500,20.0,1,Wien,20.0,20.0,0.0392,2000.0,510.2040816326531,high
AT13,AT,1550,32.0,1,Wien,32.0,32.0,0.0432,2250.0,740.7407407407406,high
AT13,AT,1600,50.0,1,Wien,50.0,50.0,0.0472,2500.0,1059.322033898305,high
AT13,AT,1650,75.0,1,Wien,75.0,75.0,0.0653333333,2250.0,1147.9591842591628,high
AT13,AT,1700,114.0,1,Wien,114.0,114.0,0.0812,2500.0,1403.9408866995075,high
AT13,AT,1750,175.0,1,Wien,175.0,175.0,0.1,2750.0,1750.0,high
AT13,AT,1800,247.0,1,Wien,247.0,254.0,0.1263333333,3000.0,1955.145119249379,high
AT13,AT,1850,443.0,2,Wien,431.0,454.0,0.1584810127,3950.0,2795.2875391993252,high
AT13,AT,1900,1517.0,3,Wien,1476.0,1524.0,0.3363468944,5973.0,4510.224489231972,high
AT22,AT,1500,0.0,0,,0.0,5.0,0.0392,2000.0,,low_no_large_city
AT22,AT,1550,0.0,0,,0.0,6.0,0.0432,2250.0,,low_no_large_city
AT22,AT,1600,0.0,0,,0.0,8.0,0.0472,2500.0,,low_no_large_city
