Year,England,Netherlands,Germany,France,Spain,Italy
1500,Catholic,Catholic,Catholic,Catholic,Catholic,Catholic
1520,Catholic,Catholic,Catholic,Catholic,Catholic,Catholic
1540,Protestant,Catholic,Mixed,Catholic,Catholic,Catholic
1560,Protestant,Catholic,Mixed,Catholic,Catholic,Catholic
1580,Protestant,Protestant,Mixed,Catholic,Catholic,Catholic
1600,Protestant,Protestant,Mixed,Catholic,Catholic,Catholic
1620,Protestant,Protestant,Mixed,Catholic,Catholic,Catholic
1640,Protestant,Protestant,Mixed,Catholic,Catholic,Catholic
1660,Protestant,Protestant,Mixed,Catholic,Catholic,Catholic
1680,Protestant,Protestant,Mixed,Catholic,Catholic,Catholic
1700,Protestant,Protestant,Mixed,Catholic,Catholic,Catholic
1720,Protestant,Protestant,Mixed,Catholic,Catholic,Catholic
1740,Protestant,Protestant,Mixed,Catholic,Catholic,Catholic
1760,Protestant,Protestant,Mixed,Catholic,Catholic,Catholic
1780,Protestant,Protestant,Mixed,Catholic,Catholic,Catholic
1800,Protestant,Mixed,Mixed,Mixed,Catholic,Catholic
1820,Protestant,Mixed,Mixed,Mixed,Catholic,Catholic
1840,Protestant,Mixed,Mixed,Mixed,Catholic,Catholic
1860,Protestant,Mixed,Mixed,Mixed,Catholic,Catholic
