region,region_abbrev,period,period_start,period_mid,stratum_abbrev,lab_real_wage_mean,lab_real_wage_obs,lab_real_wage_n_cities,lab_welfare_ratio_mean,lab_welfare_ratio_obs,lab_welfare_ratio_n_cities,craft_real_wage_mean,craft_real_wage_obs,craft_real_wage_n_cities,craft_welfare_ratio_mean,craft_welfare_ratio_obs,craft_welfare_ratio_n_cities
Austria,AT,1500-1524,1500,1512.5,AT-1500-1524,6.712503135206476,25.0,1.0,1.2840202778750716,25.0,1.0,10.06393843803758,25.0,1.0,1.925109123890061,25.0,1.0
Austria,AT,1525-1549,1525,1537.5,AT-1525-1549,5.670856110350278,25.0,1.0,1.08476586035554,25.0,1.0,8.571465508908647,25.0,1.0,1.6396171894237679,25.0,1.0
Austria,AT,1550-1574,1550,1562.5,AT-1550-1574,4.8721501793484805,25.0,1.0,0.931983121814018,25.0,1.0,6.954036462922582,25.0,1.0,1.3302226682983254,25.0,1.0
Austria,AT,1575-1599,1575,1587.5,AT-1575-1599,4.026421002967083,25.0,1.0,0.7702054078687278,25.0,1.0,6.09403137716175,25.0,1.0,1.1657141463729006,25.0,1.0
Austria,AT,1600-1624,1600,1612.5,AT-1600-1624,4.1189538105350065,25.0,1.0,0.787905809476402,25.0,1.0,5.28946509130824,25.0,1.0,1.0118103931646332,25.0,1.0
Austria,AT,1625-1649,1625,1637.5,AT-1625-1649,4.682986455174952,25.0,1.0,0.8957984001409299,25.0,1.0,5.872452378854534,25.0,1.0,1.1233287766759432,25.0,1.0
Austria,AT,1650-1674,1650,1662.5,AT-1650-1674,4.744482952401471,25.0,1.0,0.9075619327407118,25.0,1.0,6.806402673740582,25.0,1.0,1.3019821185077456,25.0,1.0
Austria,AT,1675-1699,1675,1687.5,AT-1675-1699,4.283080927719495,25.0,1.0,0.8193013324831228,25.0,1.0,6.518738942162522,25.0,1.0,1.2469555424130325,25.0,1.0
Austria,AT,1700-1724,1700,1712.5,AT-1700-1724,4.283649747461295,25.0,1.0,0.8194101407873,25.0,1.0,6.240954361335486,25.0,1.0,1.1938187278032664,25.0,1.0
Austria,AT,1725-1749,1725,1737.5,AT-1725-1749,4.358767585277597,25.0,1.0,0.8337792703122276,25.0,1.0,6.974028136444156,25.0,1.0,1.334046832499564,25.0,1.0
Austria,AT,1750-1774,1750,1762.5,AT-1750-1774,3.6324215503795987,25.0,1.0,0.6948381005611766,25.0,1.0,5.811874480607359,25.0,1.0,1.1117409608978825,25.0,1.0
Austria,AT,1775-1799,1775,1787.5,AT-1775-1799,3.4325707163504418,25.0,1.0,0.6566090646449364,25.0,1.0,5.492113146160706,25.0,1.0,1.0505745034318983,25.0,1.0
Austria,AT,1800-1824,1800,1812.5,AT-1800-1824,2.678608435484279,1.0,1.0,0.5123852426391811,1.0,1.0,4.285773496774846,1.0,1.0,0.8198163882226897,1.0,1.0
Austria,AT,1825-1849,1825,1837.5,AT-1825-1849,,0.0,1.0,,0.0,1.0,,0.0,1.0,,0.0,1.0
Austria,AT,1850-1874,1850,1862.5,AT-1850-1874,,0.0,1.0,,0.0,1.0,,0.0,1.0,,0.0,1.0
Austria,AT,1875-1899,1875,1887.5,AT-1875-1899,,0.0,1.0,,0.0,1.0,,0.0,1.0,,0.0,1.0
Belgium,BE,1500-1524,1500,1512.5,BE-1500-1524,7.364762484220014,25.0,1.0,1.4087895649349595,25.0,1.0,12.190541387650796,25.0,1.0,2.3319024251803877,25.0,1.0
Belgium,BE,1525-1549,1525,1537.5,BE-1525-1549,6.586389195051044,25.0,1.0,1.2598962136890939,25.0,1.0,11.77147016188481,25.0,1.0,2.251739192341773,25.0,1.0
Belgium,BE,1550-1574,1550,1562.5,BE-1550-1574,6.070327267202609,25.0,1.0,1.1611798381955412,25.0,1.0,11.431067116676322,25.0,1.0,2.18662422644989,25.0,1.0
Belgium,BE,1575-1599,1575,1587.5,BE-1575-1599,6.69241125863743,25.0,1.0,1.280176946048542,25.0,1.0,11.066399556375611,25.0,1.0,2.1168677536888625,25.0,1.0
Belgium,BE,1600-1624,1600,1612.5,BE-1600-1624,7.871388602183637,25.0,1.0,1.505700984663691,25.0,1.0,13.13874809649628,25.0,1.0,2.5132828457553917,25.0,1.0
Belgium,BE,1625-1649,1625,1637.5,BE-1625-1649,5.692486129382204,25.0,1.0,1.0889034201433554,25.0,1.0,9.487476882303673,25.0,1.0,1.8148390335722593,25.0,1.0
Belgium,BE,1650-1674,1650,1662.5,BE-1650-1674,6.190502026326737,25.0,1.0,1.1841678092245311,25.0,1.0,10.317503377211228,25.0,1.0,1.9736130153742186,25.0,1.0
Belgium,BE,1675-1699,1675,1687.5,BE-1675-1699,6.518159163054637,25.0,1.0,1.2468446377153037,25.0,1.0,10.863598605091063,25.0,1.0,2.078074396192173,25.0,1.0
Belgium,BE,1700-1724,1700,1712.5,BE-1700-1724,6.457978331563742,25.0,1.0,1.2353327759824726,25.0,1.0,10.763297219272904,25.0,1.0,2.0588879599707877,25.0,1.0
Belgium,BE,1725-1749,1725,1737.5,BE-1725-1749,6.840971917092836,25.0,1.0,1.3085947946675947,25.0,1.0,11.401619861821393,25.0,1.0,2.180991324445991,25.0,1.0
Belgium,BE,1750-1774,1750,1762.5,BE-1750-1774,6.710039629468073,25.0,1.0,1.2835490391644064,25.0,1.0,11.183399382446787,25.0,1.0,2.139248398607344,25.0,1.0
Belgium,BE,1775-1799,1775,1787.5,BE-1775-1799,6.014311508088482,25.0,1.0,1.1504647041934633,25.0,1.0,10.023852513480803,25.0,1.0,1.9174411736557722,25.0,1.0
Belgium,BE,1800-1824,1800,1812.5,BE-1800-1824,4.4686471433766535,25.0,1.0,0.9924226857423996,25.0,1.0,8.651767052017847,25.0,1.0,1.6549778987776418,25.0,1.0
Belgium,BE,1825-1849,1825,1837.5,BE-1825-1849,4.929489876094741,25.0,1.0,1.310442157713493,25.0,1.0,11.403469074951593,25.0,1.0,2.181345056445733,25.0,1.0
Belgium,BE,1850-1874,1850,1862.5,BE-1850-1874,4.212564496425515,25.0,1.0,1.169296324192966,25.0,1.0,10.004298547941737,25.0,1.0,1.9137007376724586,25.0,1.0
Belgium,BE,1875-1899,1875,1887.5,BE-1875-1899,5.719508068780658,25.0,1.0,1.483396319017268,25.0,1.0,12.552076232826312,25.0,1.0,2.4010596476074437,25.0,1.0
Britain,EB,1500-1524,1500,1512.5,EB-1500-1524,7.610947853783854,25.0,2.0,1.4558818344309972,25.0,2.0,10.655326995297397,50.0,2.0,2.329410935089596,25.0,2.0
Britain,EB,1525-1549,1525,1537.5,EB-1525-1549,6.52925950442872,25.0,2.0,1.2489679981262514,25.0,2.0,10.22911463145812,50.0,2.0,1.8400947519931439,25.0,2.0
Britain,EB,1550-1574,1550,1562.5,EB-1550-1574,6.59354733448667,25.0,2.0,1.261265478775764,25.0,2.0,8.726870338012887,50.0,2.0,1.7644549854280853,25.0,2.0
Britain,EB,1575-1599,1575,1587.5,EB-1575-1599,5.9115711438405905,25.0,2.0,1.1308117210375002,25.0,2.0,7.954884615508794,50.0,2.0,1.7734145106067374,25.0,2.0
Britain,EB,1600-1624,1600,1612.5,EB-1600-1624,5.72486815659018,25.0,2.0,1.0950977084343603,25.0,2.0,6.706625461441067,50.0,2.0,1.6046484757506163,25.0,2.0
Britain,EB,1625-1649,1625,1637.5,EB-1625-1649,5.79366323631438,25.0,2.0,1.108257371171887,25.0,2.0,7.354438557031024,50.0,2.0,1.8678196294979303,25.0,2.0
Britain,EB,1650-1674,1650,1662.5,EB-1650-1674,6.649290166206074,25.0,2.0,1.271928405083908,25.0,2.0,8.339304064447452,50.0,2.0,2.061950060703407,25.0,2.0
Britain,EB,1675-1699,1675,1687.5,EB-1675-1699,7.035510060044943,25.0,2.0,1.3458075773418452,25.0,2.0,7.929030928574619,50.0,2.0,1.8777500072590778,25.0,2.0
Britain,EB,1700-1724,1700,1712.5,EB-1700-1724,7.6444297144853275,25.0,2.0,1.4622865075038771,25.0,2.0,8.89529107856118,50.0,2.0,1.9864203047448876,25.0,2.0
Britain,EB,1725-1749,1725,1737.5,EB-1725-1749,8.0444182036294,25.0,2.0,1.538799444724547,25.0,2.0,9.857362667232241,50.0,2.0,2.220602863418033,25.0,2.0
Britain,EB,1750-1774,1750,1762.5,EB-1750-1774,7.51187036536505,25.0,2.0,1.4369295149090242,25.0,2.0,9.367483003873769,50.0,2.0,2.14726010128012,25.0,2.0
Britain,EB,1775-1799,1775,1787.5,EB-1775-1799,6.668549302147085,25.0,2.0,1.2756124437479508,25.0,2.0,9.312281802972569,50.0,2.0,2.0469340475738376,25.0,2.0
Britain,EB,1800-1824,1800,1812.5,EB-1800-1824,6.643114177970975,25.0,2.0,1.2707470135865702,25.0,2.0,9.130116877599948,50.0,2.0,2.0260954791864108,25.0,2.0
Britain,EB,1825-1849,1825,1837.5,EB-1825-1849,7.425281041700958,25.0,2.0,1.420366029545563,25.0,2.0,11.149755199502419,50.0,2.0,2.3672767159092714,25.0,2.0
Britain,EB,1850-1874,1850,1862.5,EB-1850-1874,8.557403975007922,25.0,2.0,1.63692738886757,25.0,2.0,12.63419391452711,50.0,2.0,2.658711460386048,25.0,2.0
Britain,EB,1875-1899,1875,1887.5,EB-1875-1899,12.81975749501301,25.0,2.0,2.4522638201391773,25.0,2.0,17.62067698744857,50.0,2.0,3.7076835148743807,25.0,2.0
France,FR,1500-1524,1500,1512.5,FR-1500-1524,5.679145823482012,50.0,2.0,1.0863515817391303,50.0,2.0,8.029047833630333,50.0,2.0,1.5358592797280153,50.0,2.0
France,FR,1525-1549,1525,1537.5,FR-1525-1549,5.0538284648735265,50.0,2.0,0.9667359700384326,50.0,2.0,7.672381643052027,50.0,2.0,1.4676333717603889,50.0,2.0
France,FR,1550-1574,1550,1562.5,FR-1550-1574,4.1586814675875825,50.0,2.0,0.7955052274908867,50.0,2.0,6.879017359576997,50.0,2.0,1.315872425477802,50.0,2.0
France,FR,1575-1599,1575,1587.5,FR-1575-1599,3.905022151675655,50.0,2.0,0.7469832828835841,50.0,2.0,6.245017842664241,50.0,2.0,1.1945960224010925,50.0,2.0
