region,region_abbrev,period,period_start,period_mid,stratum_abbrev,total_urban_pop,n_cities,mean_city_pop
Britain,EB,1500-1524,1500,1512.5,EB-1500-1524,400.0,149.0,2.684563758389262
Britain,EB,1525-1549,1525,1537.5,EB-1525-1549,,,
Britain,EB,1550-1574,1550,1562.5,EB-1550-1574,496.0,150.0,3.3066666666666666
Britain,EB,1575-1599,1575,1587.5,EB-1575-1599,,,
Britain,EB,1600-1624,1600,1612.5,EB-1600-1624,684.0,154.0,4.441558441558442
Britain,EB,1625-1649,1625,1637.5,EB-1625-1649,,,
Britain,EB,1650-1674,1650,1662.5,EB-1650-1674,893.0,159.0,5.616352201257862
Britain,EB,1675-1699,1675,1687.5,EB-1675-1699,,,
Britain,EB,1700-1724,1700,1712.5,EB-1700-1724,1231.0,162.0,7.598765432098766
Britain,EB,1725-1749,1725,1737.5,EB-1725-1749,,,
Britain,EB,1750-1774,1750,1762.5,EB-1750-1774,1703.0,163.0,10.447852760736197
Britain,EB,1775-1799,1775,1787.5,EB-1775-1799,,,
Britain,EB,1800-1824,1800,1812.5,EB-1800-1824,2965.0,164.0,18.079268292682926
Britain,EB,1825-1849,1825,1837.5,EB-1825-1849,,,
Britain,EB,1850-1874,1850,1862.5,EB-1850-1874,8097.0,167.0,48.48502994011976
Britain,EB,1875-1899,1875,1887.5,EB-1875-1899,19114.0,167.0,114.45508982035928
France,FR,1500-1524,1500,1512.5,FR-1500-1524,1473.0,315.0,4.6761904761904765
France,FR,1525-1549,1525,1537.5,FR-1525-1549,,,
France,FR,1550-1574,1550,1562.5,FR-1550-1574,1734.0,315.0,5.504761904761905
France,FR,1575-1599,1575,1587.5,FR-1575-1599,,,
France,FR,1600-1624,1600,1612.5,FR-1600-1624,2204.0,318.0,6.930817610062893
France,FR,1625-1649,1625,1637.5,FR-1625-1649,,,
France,FR,1650-1674,1650,1662.5,FR-1650-1674,2500.0,319.0,7.836990595611285
France,FR,1675-1699,1675,1687.5,FR-1675-1699,,,
France,FR,1700-1724,1700,1712.5,FR-1700-1724,3031.0,321.0,9.442367601246106
France,FR,1725-1749,1725,1737.5,FR-1725-1749,,,
France,FR,1750-1774,1750,1762.5,FR-1750-1774,3490.0,321.0,10.87227414330218
France,FR,1775-1799,1775,1787.5,FR-1775-1799,,,
France,FR,1800-1824,1800,1812.5,FR-1800-1824,3995.0,324.0,12.330246913580247
France,FR,1825-1849,1825,1837.5,FR-1825-1849,,,
France,FR,1850-1874,1850,1862.5,FR-1850-1874,5939.0,324.0,18.330246913580247
France,FR,1875-1899,1875,1887.5,FR-1875-1899,11193.0,324.0,34.5462962962963
Spain,ES,1500-1524,1500,1512.5,ES-1500-1524,1383.0,257.0,5.381322957198444
Spain,ES,1525-1549,1525,1537.5,ES-1525-1549,,,
Spain,ES,1550-1574,1550,1562.5,ES-1550-1574,1606.0,258.0,6.224806201550388
Spain,ES,1575-1599,1575,1587.5,ES-1575-1599,,,
Spain,ES,1600-1624,1600,1612.5,ES-1600-1624,2034.0,258.0,7.883720930232558
Spain,ES,1625-1649,1625,1637.5,ES-1625-1649,,,
Spain,ES,1650-1674,1650,1662.5,ES-1650-1674,1771.0,258.0,6.864341085271318
Spain,ES,1675-1699,1675,1687.5,ES-1675-1699,,,
Spain,ES,1700-1724,1700,1712.5,ES-1700-1724,1755.0,258.0,6.8023255813953485
Spain,ES,1725-1749,1725,1737.5,ES-1725-1749,,,
Spain,ES,1750-1774,1750,1762.5,ES-1750-1774,2258.0,258.0,8.751937984496124
Spain,ES,1775-1799,1775,1787.5,ES-1775-1799,,,
Spain,ES,1800-1824,1800,1812.5,ES-1800-1824,2776.0,261.0,10.636015325670497
Spain,ES,1825-1849,1825,1837.5,ES-1825-1849,,,
Spain,ES,1850-1874,1850,1862.5,ES-1850-1874,3822.0,262.0,14.587786259541986
Spain,ES,1875-1899,1875,1887.5,ES-1875-1899,5882.0,263.0,22.365019011406844
Italy,IT,1500-1524,1500,1512.5,IT-1500-1524,2358.0,378.0,6.238095238095238
Italy,IT,1525-1549,1525,1537.5,IT-1525-1549,,,
Italy,IT,1550-1574,1550,1562.5,IT-1550-1574,2798.0,379.0,7.382585751978892
Italy,IT,1575-1599,1575,1587.5,IT-1575-1599,,,
Italy,IT,1600-1624,1600,1612.5,IT-1600-1624,3420.0,388.0,8.814432989690722
Italy,IT,1625-1649,1625,1637.5,IT-1625-1649,,,
Italy,IT,1650-1674,1650,1662.5,IT-1650-1674,3446.0,391.0,8.813299232736572
Italy,IT,1675-1699,1675,1687.5,IT-1675-1699,,,
Italy,IT,1700-1724,1700,1712.5,IT-1700-1724,3631.0,393.0,9.239185750636132
Italy,IT,1725-1749,1725,1737.5,IT-1725-1749,,,
Italy,IT,1750-1774,1750,1762.5,IT-1750-1774,4175.0,393.0,10.623409669211195
Italy,IT,1775-1799,1775,1787.5,IT-1775-1799,,,
Italy,IT,1800-1824,1800,1812.5,IT-1800-1824,4904.0,393.0,12.478371501272264
Italy,IT,1825-1849,1825,1837.5,IT-1825-1849,,,
Italy,IT,1850-1874,1850,1862.5,IT-1850-1874,6233.0,393.0,15.860050890585242
Italy,IT,1875-1899,1875,1887.5,IT-1875-1899,11485.0,394.0,29.1497461928934
Germany,DE,1500-1524,1500,1512.5,DE-1500-1524,1046.0,235.0,4.451063829787234
Germany,DE,1525-1549,1525,1537.5,DE-1525-1549,,,
Germany,DE,1550-1574,1550,1562.5,DE-1550-1574,1133.0,235.0,4.821276595744681
Germany,DE,1575-1599,1575,1587.5,DE-1575-1599,,,
Germany,DE,1600-1624,1600,1612.5,DE-1600-1624,1297.0,237.0,5.472573839662447
Germany,DE,1625-1649,1625,1637.5,DE-1625-1649,,,
Germany,DE,1650-1674,1650,1662.5,DE-1650-1674,1296.0,239.0,5.422594142259414
Germany,DE,1675-1699,1675,1687.5,DE-1675-1699,,,
Germany,DE,1700-1724,1700,1712.5,DE-1700-1724,1422.0,244.0,5.827868852459017
Germany,DE,1725-1749,1725,1737.5,DE-1725-1749,,,
Germany,DE,1750-1774,1750,1762.5,DE-1750-1774,1834.0,245.0,7.485714285714286
Germany,DE,1775-1799,1775,1787.5,DE-1775-1799,,,
Germany,DE,1800-1824,1800,1812.5,DE-1800-1824,2375.0,247.0,9.615384615384615
Germany,DE,1825-1849,1825,1837.5,DE-1825-1849,,,
Germany,DE,1850-1874,1850,1862.5,DE-1850-1874,4088.0,247.0,16.55060728744939
Germany,DE,1875-1899,1875,1887.5,DE-1875-1899,13834.0,248.0,55.78225806451613
Austria,AT,1500-1524,1500,1512.5,AT-1500-1524,77.0,14.0,5.5
Austria,AT,1525-1549,1525,1537.5,AT-1525-1549,,,
Austria,AT,1550-1574,1550,1562.5,AT-1550-1574,90.0,14.0,6.428571428571429
Austria,AT,1575-1599,1575,1587.5,AT-1575-1599,,,
Austria,AT,1600-1624,1600,1612.5,AT-1600-1624,118.0,16.0,7.375
Austria,AT,1625-1649,1625,1637.5,AT-1625-1649,,,
Austria,AT,1650-1674,1650,1662.5,AT-1650-1674,147.0,16.0,9.1875
Austria,AT,1675-1699,1675,1687.5,AT-1675-1699,,,
Austria,AT,1700-1724,1700,1712.5,AT-1700-1724,203.0,16.0,12.6875
Austria,AT,1725-1749,1725,1737.5,AT-1725-1749,,,
Austria,AT,1750-1774,1750,1762.5,AT-1750-1774,275.0,16.0,17.1875
Austria,AT,1775-1799,1775,1787.5,AT-1775-1799,,,
Austria,AT,1800-1824,1800,1812.5,AT-1800-1824,379.0,16.0,23.6875
Austria,AT,1825-1849,1825,1837.5,AT-1825-1849,,,
Austria,AT,1850-1874,1850,1862.5,AT-1850-1874,631.0,16.0,39.4375
Austria,AT,1875-1899,1875,1887.5,AT-1875-1899,2009.0,16.0,125.5625
Switzerland,CH,1500-1524,1500,1512.5,CH-1500-1524,75.0,22.0,3.409090909090909
Switzerland,CH,1525-1549,1525,1537.5,CH-1525-1549,,,
Switzerland,CH,1550-1574,1550,1562.5,CH-1550-1574,83.0,22.0,3.772727272727273
Switzerland,CH,1575-1599,1575,1587.5,CH-1575-1599,,,
Switzerland,CH,1600-1624,1600,1612.5,CH-1600-1624,94.0,22.0,4.2727272727272725
Switzerland,CH,1625-1649,1625,1637.5,CH-1625-1649,,,
Switzerland,CH,1650-1674,1650,1662.5,CH-1650-1674,106.0,22.0,4.818181818181818
Switzerland,CH,1675-1699,1675,1687.5,CH-1675-1699,,,
Switzerland,CH,1700-1724,1700,1712.5,CH-1700-1724,117.0,22.0,5.318181818181818
Switzerland,CH,1725-1749,1725,1737.5,CH-1725-1749,,,
Switzerland,CH,1750-1774,1750,1762.5,CH-1750-1774,140.0,22.0,6.363636363636363
Switzerland,CH,1775-1799,1775,1787.5,CH-1775-1799,,,
Switzerland,CH,1800-1824,1800,1812.5,CH-1800-1824,150.0,22.0,6.818181818181818
Switzerland,CH,1825-1849,1825,1837.5,CH-1825-1849,,,
Switzerland,CH,1850-1874,1850,1862.5,CH-1850-1874,334.0,22.0,15.181818181818182
Switzerland,CH,1875-1899,1875,1887.5,CH-1875-1899,752.0,22.0,34.18181818181818
Netherlands,NL,1500-1524,1500,1512.5,NL-1500-1524,305.0,56.0,5.446428571428571
Netherlands,NL,1525-1549,1525,1537.5,NL-1525-1549,,,
Netherlands,NL,1550-1574,1550,1562.5,NL-1550-1574,349.0,56.0,6.232142857142857
Netherlands,NL,1575-1599,1575,1587.5,NL-1575-1599,,,
Netherlands,NL,1600-1624,1600,1612.5,NL-1600-1624,540.0,57.0,9.473684210526315
Netherlands,NL,1625-1649,1625,1637.5,NL-1625-1649,,,
Netherlands,NL,1650-1674,1650,1662.5,NL-1650-1674,688.0,58.0,11.862068965517242
Netherlands,NL,1675-1699,1675,1687.5,NL-1675-1699,,,
Netherlands,NL,1700-1724,1700,1712.5,NL-1700-1724,758.0,59.0,12.847457627118644
Netherlands,NL,1725-1749,1725,1737.5,NL-1725-1749,,,
Netherlands,NL,1750-1774,1750,1762.5,NL-1750-1774,751.0,59.0,12.728813559322035
Netherlands,NL,1775-1799,1775,1787.5,NL-1775-1799,,,
Netherlands,NL,1800-1824,1800,1812.5,NL-1800-1824,796.0,59.0,13.491525423728813
Netherlands,NL,1825-1849,1825,1837.5,NL-1825-1849,,,
Netherlands,NL,1850-1874,1850,1862.5,NL-1850-1874,1067.0,59.0,18.084745762711865
Netherlands,NL,1875-1899,1875,1887.5,NL-1875-1899,2332.0,59.0,39.52542372881356
Belgium,BE,1500-1524,1500,1512.5,BE-1500-1524,433.0,64.0,6.765625
Belgium,BE,1525-1549,1525,1537.5,BE-1525-1549,,,
Belgium,BE,1550-1574,1550,1562.5,BE-1550-1574,430.0,64.0,6.71875
Belgium,BE,1575-1599,1575,1587.5,BE-1575-1599,,,
Belgium,BE,1600-1624,1600,1612.5,BE-1600-1624,443.0,64.0,6.921875
Belgium,BE,1625-1649,1625,1637.5,BE-1625-1649,,,
Belgium,BE,1650-1674,1650,1662.5,BE-1650-1674,506.0,64.0,7.90625
Belgium,BE,1675-1699,1675,1687.5,BE-1675-1699,,,
Belgium,BE,1700-1724,1700,1712.5,BE-1700-1724,598.0,65.0,9.2
Belgium,BE,1725-1749,1725,1737.5,BE-1725-1749,,,
Belgium,BE,1750-1774,1750,1762.5,BE-1750-1774,579.0,65.0,8.907692307692308
Belgium,BE,1775-1799,1775,1787.5,BE-1775-1799,,,
Belgium,BE,1800-1824,1800,1812.5,BE-1800-1824,710.0,65.0,10.923076923076923
Belgium,BE,1825-1849,1825,1837.5,BE-1825-1849,,,
Belgium,BE,1850-1874,1850,1862.5,BE-1850-1874,1120.0,65.0,17.23076923076923
Belgium,BE,1875-1899,1875,1887.5,BE-1875-1899,1811.0,65.0,27.861538461538462
Portugal,PT,1500-1524,1500,1512.5,PT-1500-1524,252.0,47.0,5.361702127659575
Portugal,PT,1525-1549,1525,1537.5,PT-1525-1549,,,
Portugal,PT,1550-1574,1550,1562.5,PT-1550-1574,299.0,47.0,6.361702127659575
Portugal,PT,1575-1599,1575,1587.5,PT-1575-1599,,,
Portugal,PT,1600-1624,1600,1612.5,PT-1600-1624,371.0,47.0,7.8936170212765955
Portugal,PT,1625-1649,1625,1637.5,PT-1625-1649,,,
Portugal,PT,1650-1674,1650,1662.5,PT-1650-1674,414.0,47.0,8.808510638297872
Portugal,PT,1675-1699,1675,1687.5,PT-1675-1699,,,
Portugal,PT,1700-1724,1700,1712.5,PT-1700-1724,480.0,48.0,10.0
Portugal,PT,1725-1749,1725,1737.5,PT-1725-1749,,,
Portugal,PT,1750-1774,1750,1762.5,PT-1750-1774,542.0,48.0,11.291666666666666
Portugal,PT,1775-1799,1775,1787.5,PT-1775-1799,,,
Portugal,PT,1800-1824,1800,1812.5,PT-1800-1824,903.0,48.0,18.8125
Portugal,PT,1825-1849,1825,1837.5,PT-1825-1849,,,
Portugal,PT,1850-1874,1850,1862.5,PT-1850-1874,1040.0,48.0,21.666666666666668
Portugal,PT,1875-1899,1875,1887.5,PT-1875-1899,1875.0,48.0,39.0625
