region,region_abbrev,period,period_start,period_mid,stratum_abbrev,gdp_per_capita_mean,gdp_per_capita_obs,urbanization_ratio_mean,urbanization_ratio_obs,labourers_real_wage_mean,labourers_real_wage_obs,total_population_mean,total_population_obs,book_titles_per_capita_mean,book_titles_per_capita_obs,armed_conflicts_internal_mean,armed_conflicts_internal_obs,armed_conflicts_international_mean,armed_conflicts_international_obs,avg_years_education_mean,avg_years_education_obs,numeracy_mean,numeracy_obs,total_urban_population_mean,total_urban_population_obs,income_inequality_mean,income_inequality_obs,height_mean,height_obs,infant_mortality_mean,infant_mortality_obs,life_expectancy_mean,life_expectancy_obs,polity2_mean,polity2_obs,inflation_mean,inflation_obs,cattle_per_capita_mean,cattle_per_capita_obs,cropland_per_capita_mean,cropland_per_capita_obs,pasture_per_capita_mean,pasture_per_capita_obs,pigs_per_capita_mean,pigs_per_capita_obs,sheep_per_capita_mean,sheep_per_capita_obs
Austria,AT,1500-1524,1500,1512.5,AT-1500-1524,,0,0.04016,1,,0,2060.0,1,,0,0.04,25,0.4,25,,0,,0,81.376,1,,0.0,,0,,0.0,,0,,0,0.22142771000000006,24,0.2604067,1,0.99972167548,1,1.5334294800000001,1,0.19411459999999997,1,0.07273041,1
Austria,AT,1525-1549,1525,1537.5,AT-1525-1549,,0,0.04216,0,,0,2185.0,0,,0,0.04,25,0.36,25,,0,,0,87.57600000000001,0,,0.0,,0,,0.0,,0,,0,1.3078873044,25,0.2604067,0,0.99938970148,0,1.4606117299999999,0,0.19411459999999997,0,0.07273041,0
Austria,AT,1550-1574,1550,1562.5,AT-1550-1574,,0,0.04416,0,,0,2310.0,0,,0,0.0,25,0.76,25,,0,,0,97.32799999999999,1,,0.0,,0,,0.0,,0,,0,1.6924901240000003,25,0.2604067,0,0.99905772748,0,1.38779398,0,0.19411459999999997,0,0.07273041,0
Austria,AT,1575-1599,1575,1587.5,AT-1575-1599,,0,0.04616,0,,0,2435.0,0,,0,0.16,25,0.68,25,,0,,0,110.928,0,,0.0,,0,,0.0,,0,,0,2.8958562506399996,25,0.2604067,0,0.99872575348,0,1.31497623,0,0.19411459999999997,0,0.07273041,0
Austria,AT,1600-1624,1600,1612.5,AT-1600-1624,,0,0.0515519992,1,,0,2440.0,1,,0,0.0,25,0.8,25,,0,83.94943555555555,1,124.96,1,,0.0,,0,,0.0,,0,,0,6.913284129839999,25,0.2604067,1,0.9966561815199999,1,1.27276772,1,0.19411459999999997,1,0.07273041,1
Austria,AT,1625-1649,1625,1637.5,AT-1625-1649,,0,0.06061866419999999,0,,0,2315.0,0,,0,0.12,25,0.12,25,,0,83.57020222222222,0,139.46,0,,0.0,,0,,0.0,,0,,0,-0.8810301039999997,25,0.2604067,0,0.99270421177,0,1.26371922,0,0.19411459999999997,0,0.07273041,0
Austria,AT,1650-1674,1650,1662.5,AT-1650-1674,,0,0.0691413308,1,,0,2310.0,1,,0,0.0,25,0.4,25,,0,82.93814666666667,0,160.44,1,,0.0,,0,,0.0,,0,,0,-0.6947478716000001,25,0.2604067,0,0.98875224202,0,1.25467072,0,0.19411459999999997,0,0.07273041,0
Austria,AT,1675-1699,1675,1687.5,AT-1675-1699,,0,0.0770746658,0,,0,2435.0,0,,0,0.0,25,0.68,25,,0,82.30609111111112,0,188.44,0,,0.0,,0,,0.0,,0,,0,1.8899802684000002,25,0.2604067,0,0.9848002722699999,0,1.24562222,0,0.19411459999999997,0,0.07273041,0
Austria,AT,1700-1724,1700,1712.5,AT-1700-1724,,0,0.085712,1,,0,2560.0,1,,0,0.0,25,0.28,25,,0,83.04822288888889,2,220.28,1,,0.0,,0,,0.0,,0,,0,-0.3960772872000001,25,0.2604067,3,0.97644427536,3,1.126977012,3,0.19411459999999997,3,0.07273041,3
Austria,AT,1725-1749,1725,1737.5,AT-1725-1749,,0,0.095112,0,,0,2685.0,0,,0,0.0,25,0.72,25,,0,88.380334,2,256.28,0,,0.0,,0,,0.0,,0,,0,1.1488514072000002,25,0.2604067,2,0.95719456192,2,0.8896023,2,0.19411459999999997,2,0.07273041,2
