id,birth_year,age,cohort,gender,region,migration_bg,parent_edu,parent_isei,books_home_15,urban_origin,edu,edu_years,n_children,first_job_isei,employed,work_hours,current_isei
1,1972,54,older,male,de,second_gen,compulsory,28.0,1.0,0,vet,12.92,3,35,1,45.3,49.0
2,1992,34,younger,female,fr,none,compulsory,16.0,1.0,0,vet,12.76,4,35,1,11.3,29.0
3,1995,31,younger,female,it,none,upper_sec,60.0,4.0,1,matura_hv,13.71,3,29,0,,
4,1984,42,middle,female,fr,first_gen,compulsory,,1.0,0,vet,12.23,1,17,1,38.8,17.0
5,1968,58,older,male,de,none,upper_sec,60.0,4.0,1,vet,11.77,0,48,1,42.2,61.0
6,1988,38,younger,female,it,first_gen,compulsory,,1.0,1,vet,11.46,0,31,1,40.2,48.0
7,1993,33,younger,female,de,none,upper_sec,43.0,4.0,1,tertiary,17.54,0,51,1,40.7,63.0
8,1975,51,older,male,fr,first_gen,compulsory,,1.0,0,compulsory,9.33,2,32,1,53.3,37.0
9,1968,58,older,male,de,none,upper_sec,33.0,1.0,1,compulsory,9.31,3,57,1,33.9,47.0
10,1975,51,older,female,de,none,compulsory,,1.0,0,compulsory,9.38,0,42,1,41.3,22.0
11,1983,43,middle,female,de,first_gen,tertiary,60.0,4.0,0,matura_hv,14.47,1,35,1,28.9,16.0
12,1968,58,older,male,de,none,upper_sec,42.0,1.0,1,vet,11.99,1,46,0,,
13,1967,59,older,male,de,none,compulsory,53.0,1.0,0,vet,11.94,2,43,1,44.4,53.0
14,1964,62,older,male,fr,second_gen,tertiary,62.0,3.0,1,tertiary,16.83,1,72,1,48.1,78.0
15,1993,33,younger,female,de,none,tertiary,39.0,4.0,0,matura_hv,14.06,0,44,1,39.3,45.0
16,1981,45,middle,male,de,none,tertiary,47.0,4.0,1,matura_hv,14.37,2,58,0,,
17,1985,41,middle,female,de,none,compulsory,18.0,1.0,0,vet,11.57,1,37,1,38.8,26.0
18,1984,42,middle,male,de,none,compulsory,35.0,2.0,0,matura_hv,15.41,3,39,1,24.2,40.0
19,1974,52,older,female,de,none,upper_sec,33.0,1.0,1,vet,11.88,1,62,1,34.3,43.0
20,1979,47,middle,female,de,none,tertiary,44.0,4.0,1,matura_hv,14.36,1,51,1,32.9,54.0
21,1972,54,older,male,de,second_gen,tertiary,36.0,2.0,1,vet,11.5,2,50,1,33.0,52.0
22,1971,55,older,female,fr,none,tertiary,59.0,5.0,1,tertiary,18.27,0,61,1,35.2,56.0
